_key,name,Pivot Field Values,followers,popularity
4D75GcNG95ebPtNvoNVXhz,Afrojack,Chillout & Relaxation,4015250,68
6hyMWrxGBsOx6sWcVj1DqP,Sebastian Ingrosso,Indie/Alternative Vibes,969679,58
6hyMWrxGBsOx6sWcVj1DqP,Sebastian Ingrosso,Electronic/Dance Beats,969679,58
6hyMWrxGBsOx6sWcVj1DqP,Sebastian Ingrosso,Chillout & Relaxation,969679,58
7CajNmpbOovFoOoasH2HaY,Calvin Harris,Indie/Alternative Vibes,23445759,82
7CajNmpbOovFoOoasH2HaY,Calvin Harris,Electronic/Dance Beats,23445759,82
7CajNmpbOovFoOoasH2HaY,Calvin Harris,Chillout & Relaxation,23445759,82
5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,Indie/Alternative Vibes,1138456,61
5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,Electronic/Dance Beats,1138456,61
5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,Global Sounds,1138456,61
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,Indie/Alternative Vibes,29769913,88
0NDElNqwGRCmsYIQFapp6K,Oliver,Electronic/Dance Beats,54688,41
0NDElNqwGRCmsYIQFapp6K,Oliver,Chillout & Relaxation,54688,41
1KpCi9BOfviCVhmpI4G2sY,Tchami,Indie/Alternative Vibes,403427,54
1KpCi9BOfviCVhmpI4G2sY,Tchami,Electronic/Dance Beats,403427,54
1KpCi9BOfviCVhmpI4G2sY,Tchami,Global Sounds,403427,54
3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,Global Sounds,1026390,64
3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,Indie/Alternative Vibes,1026390,64
3Y3xIwWyq5wnNHPp5gPjOW,Kenny Loggins,Chillout & Relaxation,1026390,64
1WRM9i067hd2ujxxi8FI3m,Steppenwolf,Indie/Alternative Vibes,1528278,59
1WRM9i067hd2ujxxi8FI3m,Steppenwolf,Global Sounds,1528278,59
1WRM9i067hd2ujxxi8FI3m,Steppenwolf,Rock Classics,1528278,59
5krkohEVJYw0qoB5VWwxaC,The Black Crowes,Indie/Alternative Vibes,722457,57
5krkohEVJYw0qoB5VWwxaC,The Black Crowes,Rock Classics,722457,57
5krkohEVJYw0qoB5VWwxaC,The Black Crowes,Jazz & Blues Lounge,722457,57
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,Chillout & Relaxation,2313960,67
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,Chillout & Relaxation,5426460,71
7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,Chillout & Relaxation,3078983,65
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,Chillout & Relaxation,8569508,73
0RKP52f5PNDCRZ9Luq2Sr7,Jerrod Niemann,Chillout & Relaxation,496638,46
0dvKgSdNB2U1gfp6ZcekYi,Frankie Ballard,Chillout & Relaxation,354656,48
